"Former citizenship","Age","1991 Total","1991 Males","1991 Females","1992 Total","1992 Males","1992 Females","1993 Total","1993 Males","1993 Females","1994 Total","1994 Males","1994 Females","1995 Total","1995 Males","1995 Females","1996 Total","1996 Males","1996 Females","1997 Total","1997 Males","1997 Females","1998 Total","1998 Males","1998 Females","1999 Total","1999 Males","1999 Females","2000 Total","2000 Males","2000 Females","2001 Total","2001 Males","2001 Females","2002 Total","2002 Males","2002 Females","2003 Total","2003 Males","2003 Females","2004 Total","2004 Males","2004 Females","2005 Total","2005 Males","2005 Females","2006 Total","2006 Males","2006 Females","2007 Total","2007 Males","2007 Females","2008 Total","2008 Males","2008 Females","2009 Total","2009 Males","2009 Females","2010 Total","2010 Males","2010 Females","2011 Total","2011 Males","2011 Females","2012 Total","2012 Males","2012 Females","2013 Total","2013 Males","2013 Females","2014 Total","2014 Males","2014 Females","2015 Total","2015 Males","2015 Females","2016 Total","2016 Males","2016 Females","2017 Total","2017 Males","2017 Females","2018 Total","2018 Males","2018 Females"
"Canada","Total",5,4,1,4,1,3,1,1,0,4,2,2,3,0,3,2,1,1,1,0,1,4,2,2,4,1,3,0,0,0,1,1,0,4,2,2,3,3,0,4,2,2,1,0,1,3,3,0,1,0,1,2,2,0,1,1,0,0,0,0,3,0,3,4,1,3,5,3,2,3,1,2,5,2,3,1,1,0,1,1,0,4,2,2
"United States","Total",17,11,6,20,10,10,19,11,8,33,16,17,26,12,14,19,9,10,19,9,10,24,10,14,19,10,9,28,11,17,32,15,17,22,10,12,34,20,14,33,16,17,31,18,13,34,18,16,33,15,18,20,11,9,15,9,6,19,12,7,11,9,2,12,5,7,13,6,7,14,4,10,18,10,8,11,6,5,17,6,11,28,15,13
"Argentina","Total",3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0,3,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,2,2,0,1,1,0,1,1,0
"Bolivia","Total",0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0
"Brazil","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,2,0,2,0,0,0,0,0,0,4,2,2,1,0,1,0,0,0,3,0,3,1,1,0,2,1,1,1,1,0,6,1,5,2,1,1,2,1,1,5,0,5,2,1,1,8,0,8,8,1,7,14,4,10,6,1,5,6,0,6,5,3,2
"Belize","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile","Total",3,1,2,3,0,3,0,0,0,0,0,0,3,2,1,0,0,0,1,1,0,5,3,2,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,5,2,3,2,1,1,1,0,1,15,8,7,6,2,4,3,2,1,6,3,3,0,0,0,3,2,1,2,1,1,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0
"Colombia","Total",0,0,0,1,1,0,0,0,0,2,0,2,4,3,1,2,1,1,1,0,1,0,0,0,2,0,2,2,1,1,2,0,2,0,0,0,2,1,1,5,2,3,2,2,0,4,2,2,4,2,2,4,2,2,9,3,6,5,2,3,24,8,16,5,2,3,26,7,19,5,1,4,1,1,0,3,0,3,3,0,3,1,0,1
"Costa Rica","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Cuba","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,1,3,3,0,0,0,0,4,2,2,2,0,2,0,0,0,2,2,0,1,1,0,0,0,0,5,3,2,7,0,7,1,1,0,0,0,0,2,0,2,3,2,1,4,3,1,1,0,1
