"Quarter","Duration","Number","%"
"2015Q2","6 to 11 months",1000,10.5
"2015Q2","12 months or more",900,8.9
"2015Q3","Unemployed",6700,100.0
"2015Q3","Already found work",500,7.0
"2015Q3","Less than one month",1900,27.9
"2015Q3","1-2 months",1000,15.5
"2015Q3","3-5 months",1100,15.6
"2015Q3","6 to 11 months",900,13.2
"2015Q3","12 months or more",1400,20.8
"2015Q4","Unemployed",5900,100.0
"2015Q4","Already found work",200,2.6
"2015Q4","Less than one month",1700,29.2
"2015Q4","1-2 months",1400,23.1
"2015Q4","3-5 months",1300,21.5
"2015Q4","6 to 11 months",500,8.0
"2015Q4","12 months or more",900,15.5
"2016Q1","Unemployed",6100,100.0
"2016Q1","Already found work",100,1.5
"2016Q1","Less than one month",2700,43.6
"2016Q1","1-2 months",1600,25.6
"2016Q1","3-5 months",1100,17.9
"2016Q1","6 to 11 months",300,5.1
"2016Q1","12 months or more",400,6.2
"2016Q2","Unemployed",7200,100.0
"2016Q2","Already found work",2000,27.1
"2016Q2","Less than one month",1300,18.3
"2016Q2","1-2 months",1800,24.3
"2016Q2","3-5 months",900,12.3
"2016Q2","6 to 11 months",500,7.1
"2016Q2","12 months or more",800,11.0
"2016Q3","Unemployed",5200,100.0
"2016Q3","Already found work",400,7.2
"2016Q3","Less than one month",1500,29.2
"2016Q3","1-2 months",1600,29.8
"2016Q3","3-5 months",700,13.4
"2016Q3","6 to 11 months",400,8.5
"2016Q3","12 months or more",600,11.9
"2016Q4","Unemployed",5000,100.0
"2016Q4","Already found work",400,8.5
"2016Q4","Less than one month",1900,38.7
"2016Q4","1-2 months",1500,29.7
"2016Q4","3-5 months",400,9.0
"2016Q4","6 to 11 months",400,7.1
"2016Q4","12 months or more",300,7.0
"2017Q1","Unemployed",5600,100.0
"2017Q1","Already found work",100,1.3
"2017Q1","Less than one month",2400,42.1
"2017Q1","1-2 months",1600,27.7
"2017Q1","3-5 months",600,9.8
"2017Q1","6 to 11 months",400,7.9
"2017Q1","12 months or more",600,11.2
"2017Q2","Unemployed",7000,100.0
"2017Q2","Already found work",1700,23.8
"2017Q2","Less than one month",2900,41.2
"2017Q2","1-2 months",1300,18.8
"2017Q2","3-5 months",400,5.6
"2017Q2","6 to 11 months",400,5.2
"2017Q2","12 months or more",400,5.5
"2017Q3","Unemployed",4300,100.0
"2017Q3","Already found work",300,6.4
"2017Q3","Less than one month",1600,37.8
"2017Q3","1-2 months",1000,24.5
"2017Q3","3-5 months",400,10.3
"2017Q3","6 to 11 months",500,10.7
"2017Q3","12 months or more",400,10.3
"2017Q4","Unemployed",5200,100.0
"2017Q4","Already found work",200,3.8
"2017Q4","Less than one month",1800,34.8
"2017Q4","1-2 months",1500,28.8
"2017Q4","3-5 months",800,15.5
"2017Q4","6 to 11 months",300,6.2
"2017Q4","12 months or more",600,10.9
"2018Q1","Unemployed",5700,100.0
"2018Q1","Already found work",400,6.6
"2018Q1","Less than one month",1600,28.0
"2018Q1","1-2 months",1800,31.6
"2018Q1","3-5 months",1000,16.9
"2018Q1","6 to 11 months",400,7.8
"2018Q1","12 months or more",500,9.1
"2018Q2","Unemployed",7300,100.0
"2018Q2","Already found work",1600,21.3
"2018Q2","Less than one month",2100,29.3
"2018Q2","1-2 months",1600,22.3
"2018Q2","3-5 months",500,7.4
"2018Q2","6 to 11 months",600,8.0
"2018Q2","12 months or more",900,11.7
"2018Q3","Unemployed",4500,100.0
"2018Q3","Already found work",500,11.1
"2018Q3","Less than one month",1200,27.7
"2018Q3","1-2 months",700,16.2
"2018Q3","3-5 months",700,16.3
"2018Q3","6 to 11 months",600,12.7
"2018Q3","12 months or more",700,16.0
"2018Q4","Unemployed",4900,100.0
"2018Q4","Already found work",300,6.2
"2018Q4","Less than one month",1900,38.9
"2018Q4","1-2 months",1500,30.4
"2018Q4","3-5 months",300,5.5
"2018Q4","6 to 11 months",300,6.4
"2018Q4","12 months or more",600,12.6
"2019Q1","Unemployed",6200,100.0
"2019Q1","Already found work",200,3.3
