Year,Month,Citizenship,n_passengers
2003,Sep,Iceland,25170
2003,Sep,Foreigners,29058
2003,Sep,Austria,
2003,Sep,Australia / New Zealand,
2003,Sep,U.S.A.,4554
2003,Sep,Belgium,
2003,Sep,U.K.,4179
2003,Sep,Denmark,2561
2003,Sep,Estonia / Latvia / Lithuania,
2003,Sep,Finland,715
2003,Sep,France,1487
2003,Sep,Netherlands,844
2003,Sep,Hong Kong,
2003,Sep,India,
2003,Sep,Ireland,
2003,Sep,Israel,
2003,Sep,Italy,546
2003,Sep,Japan,388
2003,Sep,Canada,310
2003,Sep,China,
2003,Sep,Norway,2331
2003,Sep,Poland,
2003,Sep,Russia,
2003,Sep,Singapore,
2003,Sep,Spain,481
2003,Sep,South Korea,
2003,Sep,Switzerland,324
2003,Sep,Sweden,2665
2003,Sep,Taiwan,
2003,Sep,Germany,4544
2003,Sep,Other countries,3129
2003,Oct,Passenger total,51657
2003,Oct,Iceland,29125
2003,Oct,Foreigners,22532
2003,Oct,Austria,
2003,Oct,Australia / New Zealand,
2003,Oct,U.S.A.,3528
2003,Oct,Belgium,
2003,Oct,U.K.,4143
2003,Oct,Denmark,2031
2003,Oct,Estonia / Latvia / Lithuania,
2003,Oct,Finland,951
2003,Oct,France,532
2003,Oct,Netherlands,640
2003,Oct,Hong Kong,
2003,Oct,India,
2003,Oct,Ireland,
2003,Oct,Israel,
2003,Oct,Italy,166
2003,Oct,Japan,875
2003,Oct,Canada,221
2003,Oct,China,
2003,Oct,Norway,2631
2003,Oct,Poland,
2003,Oct,Russia,
2003,Oct,Singapore,
2003,Oct,Spain,134
2003,Oct,South Korea,
2003,Oct,Switzerland,125
2003,Oct,Sweden,2602
2003,Oct,Taiwan,
2003,Oct,Germany,1251
2003,Oct,Other countries,2702
2003,Nov,Passenger total,37281
2003,Nov,Iceland,22145
2003,Nov,Foreigners,15136
2003,Nov,Austria,
2003,Nov,Australia / New Zealand,
2003,Nov,U.S.A.,2779
2003,Nov,Belgium,
2003,Nov,U.K.,3363
2003,Nov,Denmark,1349
2003,Nov,Estonia / Latvia / Lithuania,
2003,Nov,Finland,270
2003,Nov,France,288
2003,Nov,Netherlands,391
2003,Nov,Hong Kong,
2003,Nov,India,
2003,Nov,Ireland,
2003,Nov,Israel,
2003,Nov,Italy,166
2003,Nov,Japan,213
2003,Nov,Canada,101
2003,Nov,China,
2003,Nov,Norway,1703
2003,Nov,Poland,
2003,Nov,Russia,
2003,Nov,Singapore,
2003,Nov,Spain,68
2003,Nov,South Korea,
2003,Nov,Switzerland,50
2003,Nov,Sweden,1812
2003,Nov,Taiwan,
2003,Nov,Germany,608
2003,Nov,Other countries,1975
2003,Dec,Passenger total,28449
2003,Dec,Iceland,17310
2003,Dec,Foreigners,11139
2003,Dec,Austria,
2003,Dec,Australia / New Zealand,
2003,Dec,U.S.A.,1881
2003,Dec,Belgium,
2003,Dec,U.K.,2314
2003,Dec,Denmark,931
2003,Dec,Estonia / Latvia / Lithuania,
2003,Dec,Finland,153
2003,Dec,France,495
2003,Dec,Netherlands,335
2003,Dec,Hong Kong,
2003,Dec,India,
2003,Dec,Ireland,
2003,Dec,Israel,
2003,Dec,Italy,264
2003,Dec,Japan,253
2003,Dec,Canada,118
2003,Dec,China,
2003,Dec,Norway,895
2003,Dec,Poland,
2003,Dec,Russia,
2003,Dec,Singapore,
2003,Dec,Spain,116
2003,Dec,South Korea,
2003,Dec,Switzerland,68
2003,Dec,Sweden,900
2003,Dec,Taiwan,
2003,Dec,Germany,679
2003,Dec,Other countries,1737
2004,Jan,Passenger total,34471
2004,Jan,Iceland,21206
2004,Jan,Foreigners,13265
2004,Jan,Austria,
2004,Jan,Australia / New Zealand,
2004,Jan,U.S.A.,2479
2004,Jan,Belgium,
2004,Jan,U.K.,2553
2004,Jan,Denmark,1114
2004,Jan,Estonia / Latvia / Lithuania,
2004,Jan,Finland,295
2004,Jan,France,772
2004,Jan,Netherlands,313
2004,Jan,Hong Kong,
2004,Jan,India,
2004,Jan,Ireland,
2004,Jan,Israel,
2004,Jan,Italy,231
2004,Jan,Japan,487
2004,Jan,Canada,138
2004,Jan,China,
2004,Jan,Norway,1161
2004,Jan,Poland,
2004,Jan,Russia,
2004,Jan,Singapore,
2004,Jan,Spain,155
2004,Jan,South Korea,
2004,Jan,Switzerland,151
2004,Jan,Sweden,1096
2004,Jan,Taiwan,
2004,Jan,Germany,873
2004,Jan,Other countries,1447
2004,Feb,Passenger total,35515
2004,Feb,Iceland,20091
2004,Feb,Foreigners,15424
2004,Feb,Austria,
2004,Feb,Australia / New Zealand,
2004,Feb,U.S.A.,2269
2004,Feb,Belgium,
2004,Feb,U.K.,3793
2004,Feb,Denmark,1483
2004,Feb,Estonia / Latvia / Lithuania,
2004,Feb,Finland,285
2004,Feb,France,675
2004,Feb,Netherlands,522
2004,Feb,Hong Kong,
2004,Feb,India,
2004,Feb,Ireland,
2004,Feb,Israel,
2004,Feb,Italy,157
2004,Feb,Japan,374
2004,Feb,Canada,95
2004,Feb,China,
2004,Feb,Norway,2174
2004,Feb,Poland,
2004,Feb,Russia,
2004,Feb,Singapore,
2004,Feb,Spain,83
2004,Feb,South Korea,
2004,Feb,Switzerland,71
2004,Feb,Sweden,1422
2004,Feb,Taiwan,
2004,Feb,Germany,715
2004,Feb,Other countries,1306
2004,Mar,Passenger total,40961
2004,Mar,Iceland,22219
2004,Mar,Foreigners,18742
2004,Mar,Austria,
2004,Mar,Australia / New Zealand,
2004,Mar,U.S.A.,2796
2004,Mar,Belgium,
2004,Mar,U.K.,3551
2004,Mar,Denmark,1909
2004,Mar,Estonia / Latvia / Lithuania,
2004,Mar,Finland,452
2004,Mar,France,814
2004,Mar,Netherlands,932
2004,Mar,Hong Kong,
2004,Mar,India,
2004,Mar,Ireland,
2004,Mar,Israel,
2004,Mar,Italy,188
2004,Mar,Japan,401
2004,Mar,Canada,155
2004,Mar,China,
2004,Mar,Norway,2334
2004,Mar,Poland,
2004,Mar,Russia,
2004,Mar,Singapore,
2004,Mar,Spain,74
2004,Mar,South Korea,
2004,Mar,Switzerland,93
2004,Mar,Sweden,1837
2004,Mar,Taiwan,
2004,Mar,Germany,1246
2004,Mar,Other countries,1960
2004,Apr,Passenger total,55639
2004,Apr,Iceland,31191
2004,Apr,Foreigners,24448
2004,Apr,Austria,
2004,Apr,Australia / New Zealand,
2004,Apr,U.S.A.,2900
2004,Apr,Belgium,
2004,Apr,U.K.,7335
2004,Apr,Denmark,2413
2004,Apr,Estonia / Latvia / Lithuania,
2004,Apr,Finland,512
2004,Apr,France,956
2004,Apr,Netherlands,569
2004,Apr,Hong Kong,
2004,Apr,India,
2004,Apr,Ireland,
2004,Apr,Israel,
2004,Apr,Italy,312
2004,Apr,Japan,270
2004,Apr,Canada,130
2004,Apr,China,
2004,Apr,Norway,2339
2004,Apr,Poland,
2004,Apr,Russia,
2004,Apr,Singapore,
2004,Apr,Spain,186
2004,Apr,South Korea,
2004,Apr,Switzerland,119
2004,Apr,Sweden,2727
2004,Apr,Taiwan,
2004,Apr,Germany,1239
2004,Apr,Other countries,2441
2004,May,Passenger total,57186
2004,May,Iceland,31440
2004,May,Foreigners,25746
2004,May,Austria,
2004,May,Australia / New Zealand,
2004,May,U.S.A.,4127
2004,May,Belgium,
2004,May,U.K.,3950
2004,May,Denmark,2993
2004,May,Estonia / Latvia / Lithuania,
2004,May,Finland,704
2004,May,France,935
2004,May,Netherlands,880
2004,May,Hong Kong,
2004,May,India,
2004,May,Ireland,
2004,May,Israel,
2004,May,Italy,381
2004,May,Japan,329
2004,May,Canada,245
2004,May,China,
2004,May,Norway,2639
2004,May,Poland,
2004,May,Russia,
2004,May,Singapore,
2004,May,Spain,166
2004,May,South Korea,
2004,May,Switzerland,190
2004,May,Sweden,2588
2004,May,Taiwan,
2004,May,Germany,2099
2004,May,Other countries,3520
2004,Jun,Passenger total,77858
2004,Jun,Iceland,39694
2004,Jun,Foreigners,38164
2004,Jun,Austria,
2004,Jun,Australia / New Zealand,
2004,Jun,U.S.A.,6263
2004,Jun,Belgium,
2004,Jun,U.K.,5812
2004,Jun,Denmark,3269
2004,Jun,Estonia / Latvia / Lithuania,
2004,Jun,Finland,1139
2004,Jun,France,2138
2004,Jun,Netherlands,1115
2004,Jun,Hong Kong,
2004,Jun,India,
2004,Jun,Ireland,
2004,Jun,Israel,
2004,Jun,Italy,751
2004,Jun,Japan,426
2004,Jun,Canada,378
2004,Jun,China,
2004,Jun,Norway,2855
