"Year","Sex","Age","Rate of individuals (%)","Rate lower bounds (%)","Rate upper bounds (%)","Number of individuals","Number lower bounds","Number upper bounds"
"2016","Total","65 + years old",6.1,4.4,8.1,2677,1942,3565
"2016","Female","Total",9.1,8.0,10.2,14572,12823,16456
"2016","Female","0-15 years old",10.9,8.7,13.4,3732,2984,4579
"2016","Female","16-24 years old",11.5,7.7,16.1,2257,1521,3166
"2016","Female","25-34 years old",15.5,11.6,20.0,3443,2579,4445
"2016","Female","35-44 years old",6.1,4.1,8.5,1301,879,1832
"2016","Female","45-54 years old",5.1,3.3,7.3,1070,703,1541
"2016","Female","55-64 years old",4.5,2.6,7.2,886,508,1405
"2016","Female","65 + years old",8.3,5.7,11.6,1882,1289,2615
"2016","Male","Total",8.5,7.4,9.7,13839,12063,15763
"2016","Male","0-15 years old",11.1,8.8,13.6,3941,3147,4842
"2016","Male","16-24 years old",10.7,7.4,14.7,2271,1574,3122
"2016","Male","25-34 years old",11.7,8.3,15.9,2714,1914,3679
"2016","Male","35-44 years old",9.2,6.3,12.9,2007,1361,2809
"2016","Male","45-54 years old",5.8,3.3,9.3,1211,688,1930
"2016","Male","55-64 years old",4.7,2.9,7.2,900,545,1375
"2016","Male","65 + years old",3.7,1.9,6.3,795,416,1346
"2017","Total","Total",10.3,9.4,11.2,34886,31897,38033
"2017","Total","0-15 years old",12.1,10.4,14.0,8621,7390,9962
"2017","Total","16-24 years old",13.1,10.3,16.2,5488,4320,6816
"2017","Total","25-34 years old",16.5,13.4,19.9,8098,6583,9781
"2017","Total","35-44 years old",9.2,7.1,11.6,3981,3081,5021
"2017","Total","45-54 years old",6.1,4.0,8.7,2627,1742,3751
"2017","Total","55-64 years old",5.3,3.8,7.0,2219,1606,2961
"2017","Total","65 + years old",8.1,6.1,10.4,3852,2914,4954
"2017","Female","Total",10.7,9.4,12.0,18133,16031,20388
"2017","Female","0-15 years old",13.4,10.8,16.3,4615,3733,5605
"2017","Female","16-24 years old",13.7,9.6,18.5,2791,1967,3780
"2017","Female","25-34 years old",16.1,12.1,20.7,3763,2831,4838
"2017","Female","35-44 years old",8.0,5.5,11.1,1802,1232,2507
"2017","Female","45-54 years old",7.2,4.0,11.6,1622,895,2631
"2017","Female","55-64 years old",5.4,3.4,8.0,1189,754,1756
"2017","Female","65 + years old",9.6,6.8,12.9,2351,1666,3181
"2017","Male","Total",10.0,8.7,11.3,16753,14675,18996
"2017","Male","0-15 years old",11.0,8.7,13.5,4006,3182,4943
"2017","Male","16-24 years old",12.5,8.9,16.9,2697,1917,3632
"2017","Male","25-34 years old",16.9,12.4,22.1,4335,3184,5675
"2017","Male","35-44 years old",10.4,7.2,14.2,2179,1520,2982
"2017","Male","45-54 years old",4.9,2.8,7.7,1005,584,1582
"2017","Male","55-64 years old",5.2,3.2,7.8,1030,635,1552
"2017","Male","65 + years old",6.6,4.0,10.0,1501,910,2285
"2018","Total","Total",9.0,8.1,9.9,31371,28367,34558
"2018","Total","0-15 years old",11.1,9.3,13.1,7945,6651,9375
"2018","Total","16-24 years old",10.1,7.8,12.9,4413,3385,5605
"2018","Total","25-34 years old",12.5,9.8,15.5,6150,4840,7644
"2018","Total","35-44 years old",9.8,7.5,12.4,4399,3377,5585
"2018","Total","45-54 years old",6.3,4.2,9.0,2939,1966,4166
"2018","Total","55-64 years old",7.3,5.0,10.0,3175,2192,4390
